#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Industry,Market,Provided by GlobeFunder.com
889,Telefonica Brasil,VIV,$9.03,"$85,969.63",Communications,Major Telecommunications,NYSE,
890,Valero,VLO,$68.01,"$27,804.91",Energy Minerals,Oil Refining/Marketing,NYSE,
891,VMware,VMW,$121.90,"$51,156.86",Technology Services,Information Technology Services,NYSE,
892,Vroom Inc,VRM,$15.54,"$2,127.55",Retail Trade,Specialty Stores,NASDAQ,
893,Verisk Analytics,VRSK,$225.81,"$36,391.83",Finance,Insurance Brokers/Services,NASDAQ,
894,Verisign,VRSN,$241.02,"$26,772.12",Technology Services,Internet Software/Services,NASDAQ,
895,Vertex Pharmaceuticals,VRTX,$183.59,"$46,678.11",Health Technology,Biotechnology,NASDAQ,
896,Victoria's Secret,VSCO,$53.45,-,Retail Trade,Apparel/Footwear Retail,NYSE,No live pricing
897,Vistra Energy,VST,$20.16,"$9,729.77",Utilities,Electric Utilities,NYSE,
898,Ventas,VTR,$49.50,"$19,759.21",Finance,Real Estate Investment Trusts,NYSE,
899,Viatris,VTRS,$12.75,"$15,419.76",Health Technology,Pharmaceuticals: Major,NASDAQ,
900,Verizon,VZ,$51.80,"$214,460.49",Communications,Major Telecommunications,NYSE,
901,Wayfair,W,$276.42,"$28,898.16",Retail Trade,Internet Retail,NYSE,
902,WABTEC Corporation,WAB,$93.02,"$17,378.09",Producer Manufacturing,Trucks/Construction/Farm Machinery,NYSE,
903,Weibo,WB,$42.79,"$9,802.83",Technology Services,Internet Software/Services,NASDAQ,
904,Walgreens Boots,WBA,$45.90,"$39,731.61",Retail Trade,Drugstore Chains,NASDAQ,
905,Waste Connections,WCN,$134.21,"$44,198.00",Industrial Services,Environmental Services,NYSE,
906,Workday,WDAY,$277.55,"$69,387.50",Technology Services,Information Technology Services,NASDAQ,
907,Western Digital,WDC,$57.76,"$17,999.34",Electronic Technology,Computer Peripherals,NASDAQ,
908,Welltower,WELL,$81.92,"$35,657.68",Finance,Real Estate Investment Trusts,NYSE,
909,Wendy's Company,WEN,$21.32,"$4,703.93",Consumer Services,Restaurants,NASDAQ,
910,WEX,WEX,$131.93,"$5,912.91",Technology Services,Data Processing Services,NYSE,
911,Wells Fargo,WFC,$48.43,"$193,101.65",Finance,Major Banks,NYSE,
912,Wingstop,WING,$167.56,"$4,997.60",Consumer Services,Restaurants,NASDAQ,
913,ContextLogic,WISH,$3.92,"$2,520.56",Retail Trade,Internet Retail,NASDAQ,
914,Wipro,WIT,$8.38,"$44,837.12",Technology Services,Information Technology Services,NYSE,
915,Wix.com Ltd,WIX,$159.55,"$9,087.11",Technology Services,Information Technology Services,NASDAQ,
916,Workhorse Group Inc,WKHS,$5.79,$903.16,Producer Manufacturing,Auto Parts: OEM,NASDAQ,
917,Waste Management,WM,$163.47,"$68,382.17",Industrial Services,Environmental Services,NYSE,
918,Williams Companies,WMB,$28.24,"$34,312.42",Industrial Services,Oil & Gas Pipelines,NYSE,
